date,stocks
20170911,2490000
20170908,2454000
20170907,2406000
20170906,2350000
20170905,2338000
20170904,2302000
20170901,2324000
20170831,2316000
20170830,2310000
20170829,2304000
20170828,2305000
20170825,2351000
20170824,2376000
20170823,2374000
20170822,2350000
20170821,2342000
20170818,2345000
20170817,2352000
20170816,2310000
20170814,2250000
20170811,2231000
20170810,2295000
20170809,2314000
20170808,2386000
20170807,2379000
20170804,2385000
20170803,2389000
20170802,2450000
20170801,2430000
20170731,2410000
20170728,2388000
20170727,2490000
20170726,2492000
20170725,2500000
20170724,2543000
20170721,2554000
20170720,2560000
20170719,2537000
20170718,2542000
20170717,2532000
20170714,2524000
20170713,2528000
20170712,2494000
20170711,2450000
20170710,2433000
20170707,2393000
20170706,2403000
20170705,2379000
20170704,2350000
20170703,2361000
20170630,2377000
20170629,2397000
20170628,2385000
20170627,2415000
20170626,2414000
20170623,2381000
20170622,2398000
20170621,2374000
20170620,2407000
20170619,2328000
20170616,2279000
20170615,2284000
20170614,2268000
20170613,2270000
20170612,2269000
20170609,2305000
20170608,2258000
20170607,2265000
20170605,2297000
20170602,2298000
20170601,2234000
20170531,2235000
20170530,2232000
20170529,2281000
20170526,2304000
20170525,2284000
20170524,2244000
20170523,2246000
20170522,2255000
20170519,2236000
20170518,2297000
20170517,2317000
20170516,2319000
20170515,2305000
20170512,2291000
20170511,2275000
20170510,2280000
20170508,2351000
20170504,2276000
20170502,2245000
20170428,2231000
20170427,2192000
20170426,2140000
20170425,2135000
20170424,2062000
20170421,2038000
20170420,2014000
20170419,2045000
20170418,2075000
20170417,2078000
20170414,2101000
20170413,2121000
20170412,2095000
20170411,2080000
20170410,2097000
20170407,2080000
20170406,2092000
20170405,2107000
20170404,2104000
20170403,2072000
20170331,2060000
20170330,2099000
20170329,2089000
20170328,2074000
20170327,2060000
20170324,2075000
20170323,2090000
20170322,2123000
20170321,2128000
20170320,2095000
20170317,2120000
20170316,2092000
20170315,2070000
20170314,2068000
20170313,2030000
20170310,2009000
20170309,2010000
20170308,2010000
20170307,2010000
20170306,2004000
20170303,1981000
20170302,1986000
20170228,1922000
20170227,1903000
20170224,1911000
20170223,1959000
20170222,1965000
20170221,1947000
20170220,1933000
20170217,1893000
20170216,1901000
20170215,1886000
20170214,1879000
20170213,1898000
20170210,1918000
20170209,1920000
20170208,1920000
20170207,1941000
20170206,1978000
20170203,1973000
20170202,1968000
20170201,1956000
20170131,1973000
20170126,1995000
20170125,1970000
20170124,1908000
20170123,1903000
20170120,1860000
20170119,1874000
20170118,1847000
20170117,1848000
20170116,1833000
20170113,1873000
20170112,1940000
20170111,1914000
20170110,1862000
20170109,1861000
20170106,1810000
20170105,1778000
20170104,1808000
20170103,1824000
20170102,1805000
20161229,1802000
20161228,1788000
20161227,1799000
20161226,1798000
20161223,1782000
20161222,1809000
20161221,1805000
20161220,1812000
20161219,1795000
20161216,1793000
20161215,1759000
20161214,1777000
20161213,1766000
20161212,1752000
20161209,1780000
20161208,1790000
20161207,1772000
20161206,1748000
20161205,1718000
20161202,1727000
20161201,1749000
20161130,1746000
20161129,1677000
20161128,1677000
20161125,1650000
20161124,1650000
20161123,1649000
20161122,1640000
20161121,1593000
20161118,1586000
20161117,1568000
20161116,1558000
20161115,1539000
20161114,1553000
20161111,1598000
20161110,1649000
20161109,1596000
20161108,1644000
20161107,1640000
20161104,1627000
20161103,1616000
20161102,1643000
20161101,1652000
20161031,1639000
20161028,1614000
20161027,1573000
20161026,1567000
20161025,1597000
20161024,1608000
20161021,1589000
20161020,1620000
20161019,1625000
20161018,1589000
20161017,1590000
20161014,1577000
20161013,1557000
20161012,1535000
20161011,1545000
20161010,1680000
20161007,1706000
20161006,1691000
20161005,1619000
20161004,1614000
20160930,1598000
20160929,1600000
20160928,1567000
20160927,1569000
20160926,1568000
20160923,1571000
20160922,1618000
20160921,1592000
20160920,1585000
20160919,1558000
20160913,1527000
20160912,1465000
20160909,1575000
20160908,1639000
20160907,1621000
20160906,1643000
20160905,1606000
20160902,1597000
20160901,1587000
20160831,1620000
20160830,1645000
20160829,1640000
20160826,1612000
20160825,1639000
20160824,1653000
20160823,1687000
20160822,1665000
20160819,1675000
20160818,1640000
20160817,1566000
20160816,1568000
20160812,1545000
20160811,1559000
20160810,1541000
20160809,1567000
20160808,1569000
20160805,1561000
20160804,1517000
20160803,1517000
20160802,1548000
20160801,1568000
20160729,1539000
20160728,1507000
20160727,1527000
20160726,1530000
20160725,1502000
20160722,1516000
20160721,1543000
20160720,1540000
20160719,1533000
20160718,1533000
20160715,1518000
20160714,1500000
20160713,1481000
20160712,1464000
20160711,1489000
20160708,1460000
20160707,1450000
20160706,1421000
20160705,1469000
20160704,1466000
20160701,1466000
20160630,1425000
20160629,1396000
20160628,1399000
20160627,1398000
20160624,1400000
20160623,1430000
20160622,1445000
20160621,1448000
20160620,1431000
20160617,1426000
20160616,1409000
20160615,1413000
20160614,1380000
20160613,1371000
20160610,1406000
20160609,1430000
20160608,1406000
20160607,1398000
20160603,1377000
20160602,1365000
